metric,count,mean,std,min,p50,p95,max
mae,64,2.3071001675756264e-07,2.3634529417582937e-07,4.826615196407147e-08,1.3753476935107756e-07,7.787584110019449e-07,1.0634793170538615e-06
rmse,64,2.1605537954272336e-06,1.2466840051129956e-06,8.34083095924143e-07,1.7861233914118202e-06,4.9955413942370785e-06,5.765790774603374e-06
mean_error,64,-2.0393344082880738e-07,2.400384672122755e-07,-1.0521679314479115e-06,-1.0737143441019725e-07,-2.8175117794404547e-08,-1.6762108145940147e-08
max_abs_error,64,7.093947243674847e-05,8.975517421518827e-06,5.5954267736524343e-05,6.967588342376985e-05,8.369747956749052e-05,9.952404070645571e-05
target_mean,64,2.1958264445620657e-07,2.403997753965266e-07,3.2563981733346736e-08,1.245067053901039e-07,7.755545340160094e-07,1.0659799727363861e-06
pred_mean,64,1.5649194801126143e-08,4.171146257813189e-09,1.0283541129751939e-08,1.559996043454248e-08,2.3772994595105955e-08,2.3920229352825118e-08
target_max,64,7.095016752600714e-05,8.978127099859721e-06,5.5954267736524343e-05,6.967588342376985e-05,8.369747956749052e-05,9.952404070645571e-05
pred_max,64,6.227270880287961e-06,5.686814917611424e-07,5.088747457193676e-06,6.165251988932141e-06,7.404186112580646e-06,7.447196367138531e-06
relative_mae_percent,64,0.3141483867351655,0.30073026021039323,0.057969539600643986,0.20343885361841102,0.9925279136912963,1.4888828895109396
relative_rmse_percent,64,2.995839105019246,1.5335905267624235,1.030272094670725,2.501798546664441,6.195748396909412,8.067864997315878
relative_max_abs_error_percent,64,99.9853953405306,0.0813245359495159,99.52571871656023,100.0,100.0,100.0
hd_10pct_mae,64,2.462485403498249e-05,3.900151063796346e-06,1.7399725038558245e-05,2.4280183424707502e-05,3.133221707685152e-05,3.410099452594295e-05
hd_10pct_rmse,64,2.8648319414514845e-05,4.2502422068452436e-06,2.0664521798607893e-05,2.8046639272361062e-05,3.573673475329997e-05,3.839776400127448e-05
hd_50pct_mae,64,4.9156081729506695e-05,6.910261985748073e-06,3.7482561310753226e-05,4.8372043238487095e-05,6.0419627334340466e-05,6.885024777147919e-05
hd_50pct_rmse,64,5.0067136726283934e-05,7.036430445978666e-06,3.815981835941784e-05,4.925186658510938e-05,6.138023873063502e-05,7.031885616015643e-05
gamma_3pct_3mm_cutoff10pct_pass_rate,64,7.178915951084152e-07,4.25187351164767e-06,0.0,0.0,0.0,3.117401334247771e-05
gamma_2pct_2mm_cutoff10pct_pass_rate,64,0.0,0.0,0.0,0.0,0.0,0.0
masked_mae,64,9.23374120986864e-06,1.7569288570994322e-06,5.54007783648558e-06,9.278122888645157e-06,1.1693957003444665e-05,1.4725106666446663e-05
masked_rmse,64,1.6322385064881928e-05,2.831803741541086e-06,1.035709101415705e-05,1.6472376046294812e-05,1.99506890567136e-05,2.429223241051659e-05
masked_max_abs_error,64,7.093947243674847e-05,8.975517421518827e-06,5.5954267736524343e-05,6.967588342376985e-05,8.369747956749052e-05,9.952404070645571e-05
masked_relative_mae_percent,64,13.11733755854326,2.533349635973066,7.1116158189641965,13.070960605328555,17.690723784886952,18.11787204605952
masked_relative_rmse_percent,64,23.151761232506946,3.8351750814748655,13.295057302201304,23.27588806578938,29.37694842793406,30.86544466154691
prediction_seconds,64,0.112318625,0.02648612512860507,0.082601,0.102771,0.14548585,0.248212
write_seconds,64,0.20992,0.035748644979565314,0.1536,0.20522,0.26183275,0.265844
total_seconds,64,0.322239859375,0.05715972249808732,0.241246,0.316014,0.4105292,0.509714
