epoch,train_loss,train_global_l1,train_masked_l1,train_batches,train_seconds,val_loss,val_global_l1,val_masked_l1,val_batches,val_seconds,epoch_seconds
1,0.04994930326938629,0.0062723723240196705,0.04367695748806,32400,2138.3191317,0.04790256917476654,0.005664970260113478,0.042237624526023865,8100,438.7266324000002,2577.0462125
2,0.0475928895175457,0.005446734372526407,0.04214612394571304,32400,2170.2082319,0.04891568422317505,0.005809626076370478,0.04310618340969086,8100,412.64075349999985,2582.8493065
3,0.046696096658706665,0.005242024082690477,0.04145421087741852,32400,2174.6435694,0.0482943020761013,0.004157294053584337,0.04413704574108124,8100,403.9750563000007,2578.6193141000003
4,0.0458877868950367,0.005093622952699661,0.040794119238853455,32400,2053.6575835999993,0.04674544185400009,0.005469891242682934,0.04127562791109085,8100,412.57935650000036,2466.237476699999
5,0.04520168527960777,0.005002254620194435,0.040199507027864456,32400,2079.887412099999,0.04659907892346382,0.005134256090968847,0.041464801877737045,8100,387.10641580000083,2466.994287200001
6,0.04420389235019684,0.004853913560509682,0.039349835366010666,32400,1955.1131956000008,0.04684937000274658,0.0036811241880059242,0.04316810891032219,8100,379.1925170000013,2334.3060473000005
7,0.04362017288804054,0.004754322115331888,0.03886597231030464,32400,1948.6814687000006,0.04532768949866295,0.004571827594190836,0.04075584188103676,8100,381.15527010000005,2329.8371217000004
8,0.04297589138150215,0.004684423562139273,0.0382913239300251,32400,1947.123993600002,0.04457617551088333,0.004281488247215748,0.040294744074344635,8100,379.4545894999974,2326.5788995999974
9,0.04251863807439804,0.004625763278454542,0.03789310157299042,32400,1945.6262524000012,0.044891249388456345,0.004479028284549713,0.04041235148906708,8100,380.95287670000107,2326.5794548000013
10,0.042147859930992126,0.004568759351968765,0.03757915273308754,32400,1943.4133244999975,0.045842427760362625,0.004486221354454756,0.04135623574256897,8100,379.25690349999786,2322.6705552999993
